subscription_id,user_id,plan_level,mrr,status,upgrade_date
ddcd9615,c415baaf,Free,0,Active,
ebac0f93,db87c178,Pro,120.27,Active,11/01/2025
f570fab5,0bde3935,Free,0,Active,
0a952158,1b59b3ff,Free,0,Active,
e9012bc1,d343b924,Free,0,Active,
8276fd2b,4ea99eec,Pro,239.67,Active,07/01/2025
b7ab0f89,c0a1f6db,Free,0,Active,
048b5b6c,5cc52109,Free,0,Active,
662fb3a8,3c64b914,Free,0,Active,
91b19adf,2d2c06a9,Pro,52.85,Active,01/02/2025
70b46a00,0c52bde4,Free,0,Active,
60f3ecfe,6bd84b88,Free,0,Active,
b99c26de,79fee4fa,Free,0,Active,
1ef6d0f9,8e0e1bf0,Free,0,Active,
74f0c323,79bf4b76,Free,0,Active,
050e63a8,1175359e,Free,0,Active,
18a20528,204a78af,Free,0,Active,
4b8c36d4,90036a06,Pro,221.95,Active,04/02/2025
09f2f111,9f45e305,Free,0,Active,
0d22f1ef,17e88467,Free,0,Active,
2cbd3cb9,4dcc6246,Free,0,Active,
a951397c,5d99dd66,Free,0,Active,
732957cf,d93f33fb,Free,0,Active,
f6d60630,036455aa,Free,0,Active,
278289fb,b457f8e5,Pro,24.7,Active,05/01/2025
f1631ed4,35524ca6,Pro,725.05,Active,30/01/2025
f387aac4,570a4568,Free,0,Active,
f7123026,fc666829,Free,0,Active,
975e4bcc,2d22e66d,Free,0,Active,
46cc0344,adcb3e21,Free,0,Active,
80ba597e,33a7f0b4,Free,0,Active,
ba9c1d11,12a8b1c8,Free,0,Active,
dc0f5a28,086e1c78,Free,0,Active,
9857b15c,619dd7db,Free,0,Active,
226a44be,8b758522,Free,0,Active,
dd689778,235c4450,Free,0,Active,
ff8cf03d,301182c5,Free,0,Active,
ca511090,bb36349d,Free,0,Active,
9048fc80,6b059677,Free,0,Active,
cbe88280,1a581cb8,Enterprise,3069.34,Active,09/01/2025
7c2bef7d,78da899e,Free,0,Active,
76a875e4,61fb70dd,Pro,236.4,Active,22/01/2025
ff147404,15cf44dd,Free,0,Active,
1f6e0b18,223058d1,Free,0,Active,
7682535e,2e0adefc,Enterprise,3910.9,Active,08/01/2025
799f3ee8,424b60a9,Pro,739.26,Active,09/01/2025
941117ad,e4733445,Free,0,Active,
e0bd0b5d,4eced2d6,Free,0,Active,
9bebe314,9ab74a99,Free,0,Active,
f5d622f6,ba15c253,Free,0,Active,
249993b8,f981f64c,Free,0,Active,
b65fd099,00b3db7e,Free,0,Active,
ad387575,4b98090c,Pro,601.05,Active,23/01/2025
cf727f0f,37f1747c,Free,0,Active,
e506bdba,072a1e07,Free,0,Active,
9e62a32c,ba955b26,Free,0,Active,
f2e49412,82dccc0d,Free,0,Active,
524df6cb,f57e4ec8,Free,0,Active,
d7518802,2d6e11b3,Pro,114.99,Active,24/01/2025
743fa21e,11786d2d,Pro,947.39,Active,17/01/2025
4c942471,4e1c363e,Free,0,Active,
d6ce7486,2712d325,Free,0,Active,
dd5e8d1f,52915938,Free,0,Active,
d3045540,6dfaca99,Free,0,Active,
1b70dd08,b9b95777,Pro,614.5,Active,22/01/2025
5892786a,5f326573,Pro,55.85,Active,22/01/2025
6280cc6b,0fb55ee7,Free,0,Active,
a63c0df7,e3c879e6,Pro,29.01,Active,24/01/2025
e5815b9e,e6b602dd,Free,0,Active,
ee554bd4,2ed352a4,Pro,52.11,Active,25/01/2025
5a7141f2,b22ef81f,Free,0,Active,
1f636c41,202cb966,Free,0,Active,
699e42bb,c1f41a1f,Free,0,Active,
68d9c658,0da7d1e4,Free,0,Active,
e2b59b85,a2768da9,Free,0,Active,
7d9d24a9,a0416ae7,Free,0,Active,
84123498,22307953,Pro,1060.59,Active,18/01/2025
12586790,8.01E+233,Pro,29.45,Active,30/01/2025
77cae7e1,a1442b4d,Free,0,Active,
1adf7165,99e13577,Pro,78.9,Active,10/01/2025
af44be42,c90d54d5,Pro,726.5,Active,06/01/2025
bd5a1b8d,4274ab4f,Free,0,Active,
b70c2d8c,2f3ec234,Pro,1063.18,Active,25/01/2025
c94670c3,199f6cab,Pro,165.74,Active,27/01/2025
13a01222,4821ba8a,Free,0,Active,
a9ea097b,ff963173,Free,0,Active,
3e046292,33ee7355,Pro,168.94,Active,12/01/2025
7fa1439a,5bcdc503,Free,0,Active,
b86938ed,a62fa681,Free,0,Active,
23d21252,dfe50617,Free,0,Active,
a973fb3e,45f7549b,Pro,700.34,Active,30/01/2025
b5201cca,2dac852f,Pro,26.43,Active,25/01/2025
7.30E+59,724c438d,Free,0,Active,
73c5576b,f3bb64c5,Free,0,Active,
dd2f4f18,2cb92276,Pro,128.78,Active,03/01/2025
fac602bc,253d2414,Free,0,Active,
550a5bb8,531f556d,Free,0,Active,
4a4e117f,d2a128b7,Free,0,Active,
357ce20b,8c2f97ca,Pro,535.21,Active,03/01/2025
4c9e2cf7,c92789a6,Free,0,Active,
6389bbb2,433ffe38,Pro,249.11,Active,12/01/2025
932258fc,a461068c,Free,0,Active,
6530a4ae,a174e96e,Free,0,Active,
55aa43c8,69e0b951,Free,0,Active,
b50d4eb2,0e09f5d5,Free,0,Active,
a6aa3ace,900f5133,Free,0,Active,
3970db02,06d034e2,Free,0,Active,
517fd2cc,4b773ac5,Free,0,Active,
941208c9,d7c811c0,Pro,108.69,Active,06/02/2025
73bc50dc,71ec7354,Free,0,Active,
a685a6dd,f75be968,Pro,254.11,Active,07/02/2025
ac920022,a4f117df,Pro,59.97,Active,17/01/2025
57ab330b,b369b22a,Enterprise,4455.23,Active,06/02/2025
538f0801,6d2b4e10,Free,0,Active,
e5174b40,5e08d303,Free,0,Active,
31e9d109,59c3f529,Free,0,Active,
ef869893,1a9a3057,Pro,26.35,Active,21/01/2025
dc97d115,449e9419,Free,0,Active,
47a0214b,b993b814,Free,0,Active,
b9964cff,4591df09,Free,0,Active,
e07d7642,8fc44f0c,Free,0,Active,
8c9c4ea4,33c3c379,Pro,815.05,Active,31/01/2025
651a9026,138ad2ae,Free,0,Active,
223cc2d1,81e9611d,Free,0,Active,
0da957b4,46f49d64,Pro,1097.07,Active,20/01/2025
fb7cca60,ddafa03c,Pro,1055.9,Active,21/01/2025
57f88194,7f6bf137,Free,0,Active,
171c2eb3,60efc916,Pro,302.46,Active,28/01/2025
69e51f82,a216b51b,Free,0,Active,
f1cf4cc3,0686594f,Pro,51.37,Active,24/01/2025
a6da182b,14c168fc,Free,0,Active,
762fd979,7a7ba017,Pro,678.33,Active,18/01/2025
59b8128d,f7348843,Free,0,Active,
76d01f5f,3ada3fa0,Free,0,Active,
68afbae4,26cf023f,Free,0,Active,
0e659d1a,12b6c03e,Pro,75.33,Active,25/01/2025
bf8db056,028882b5,Free,0,Active,
facf6b2b,3614e559,Free,0,Active,
25035757,28203f0f,Pro,28.41,Active,17/01/2025
2e516011,442cf2af,Free,0,Active,
bb4799cd,55106972,Free,0,Active,
ea395082,2e11ae36,Free,0,Active,
e25d363e,8f77520b,Pro,207.26,Active,31/01/2025
3274815c,3fa8143d,Free,0,Active,
3444b947,b82f1333,Free,0,Active,
691fc264,da37313c,Free,0,Active,
0c48d040,6b0a3b47,Pro,99.67,Active,06/01/2025
6c4b2651,1f80d4e7,Free,0,Active,
4c8519ef,3a9bbfda,Free,0,Active,
f058a4fb,3cff743c,Free,0,Active,
98f71dfb,2c0b98b2,Free,0,Active,
a8923975,97e36157,Free,0,Active,
534eabc0,2fb2e8ab,Free,0,Active,
9aca40b9,be78c72d,Free,0,Active,
0a20fd10,c1b42e78,Pro,88.98,Active,08/01/2025
14bda3ac,1c5393c1,Free,0,Active,
af73447b,da9fca3d,Free,0,Active,
be88f034,6a626603,Free,0,Active,
9820aa3b,203318d2,Free,0,Active,
3a4becc8,2c57b921,Free,0,Active,
58673229,78ff3f84,Free,0,Active,
3d8b9633,2349c9ab,Pro,825.93,Active,19/01/2025
3859a748,ea8be435,Free,0,Active,
b0c6160c,2d711ef0,Free,0,Active,
1f8cd3d1,c65d8775,Free,0,Active,
a84ed3d9,bd24101b,Pro,957.51,Active,31/01/2025
48ddd0b6,e7b2f4ca,Free,0,Active,
aec252c0,622de238,Free,0,Active,
425d0183,60a45ff3,Free,0,Active,
7f9809ff,c2024846,Free,0,Active,
cc177e1b,a5985f9d,Free,0,Active,
e740234f,4408355,Pro,1056.67,Active,02/02/2025
9604e40b,90b0256a,Free,0,Active,
15cc9f77,2d531e37,Free,0,Active,
85a7568d,f4619391,Free,0,Active,
3c8c5a74,8a26d4aa,Free,0,Active,
c2b673ca,371d74d2,Pro,28.49,Active,18/01/2025
ac841737,0a4b3e5e,Pro,50.12,Active,03/02/2025
a7bdd244,166f7ad2,Pro,381.56,Active,25/01/2025
3a587827,c3664161,Free,0,Active,
168d3e29,c978fcf3,Free,0,Active,
8cc97a7d,3ea2716a,Free,0,Active,
869fe888,27e39257,Free,0,Active,
61b36185,341b586e,Free,0,Active,
69a98fcb,a7465fac,Free,0,Active,
3.77E+08,cf5b3e2d,Free,0,Active,
fd89b960,6b085792,Free,0,Active,
1b6de4fa,a4d29044,Free,0,Active,
9af27496,606c14c8,Pro,193.11,Active,13/01/2025
bae64c64,270aa928,Free,0,Active,
bed0d3fb,71d80975,Free,0,Active,
2422ecea,684117bb,Pro,559.02,Active,04/01/2025
0378bf0b,b341a801,Free,0,Active,
644f75a2,294f12b9,Free,0,Active,
77656395,141f44d4,Free,0,Active,
95ee72dc,d597ad90,Pro,158.78,Active,26/01/2025
ea3ddbfc,61a5283c,Free,0,Active,
8c7dc975,dc359922,Free,0,Active,
d1f5b176,e746e85a,Free,0,Active,
103c5da4,7.24E+08,Free,0,Active,
fe8ff8d1,9a3df4b9,Pro,149.1,Active,17/01/2025
0c3ca69f,cf8f6d6d,Free,0,Active,
240cb33e,ee111ea8,Free,0,Active,
94282c98,809d1901,Pro,645.27,Active,24/01/2025
ec7cd1cb,b05fee94,Free,0,Active,
e90dbcb9,963dbbb2,Free,0,Active,
d1ce4774,d9fe3e93,Free,0,Active,
a262856b,7956b072,Pro,25.2,Active,13/01/2025
5830e492,90b52598,Free,0,Active,
7f4d402a,679dba82,Free,0,Active,
f1a83f33,39da3d88,Free,0,Active,
9166ab1b,3024cc83,Free,0,Active,
264ed08f,c67a038b,Enterprise,2874.02,Active,07/01/2025
f0ef550c,e3306633,Free,0,Active,
f78babc7,582f8b05,Free,0,Active,
7a4c5320,6cc87806,Free,0,Active,
2453ad3b,7727cde5,Free,0,Active,
99447994,37248619,Free,0,Active,
d8678e15,35f84262,Free,0,Active,
d87db018,9832a85d,Free,0,Active,
4978204,239a1744,Free,0,Active,
4c77e6ae,36c84d76,Pro,209.93,Active,04/02/2025
3d629a8f,4ff29142,Free,0,Active,
2ac73b6d,783ae4b3,Free,0,Active,
59520c47,cb016257,Free,0,Active,
1ec303aa,55d5c1a7,Free,0,Active,
1b1228e1,60bbda21,Free,0,Active,
f0f74504,b9fe1223,Pro,204.37,Active,21/01/2025
bae9ebec,0515b750,Free,0,Active,
c92fb80d,baf5910d,Free,0,Active,
68fb697a,dc27a5f2,Free,0,Active,
196be657,2ed44344,Free,0,Active,
8f4a6b0b,4f23653b,Free,0,Active,
3859e4bd,18bae932,Pro,969.79,Active,17/01/2025
e6060ab9,10a1fba9,Enterprise,4725.11,Active,31/01/2025
2cf9f8d1,92db6372,Free,0,Active,
8e726b63,5871ba0a,Free,0,Active,
3dd1b88f,899c8540,Pro,176.8,Active,12/01/2025
dceef399,877b4786,Free,0,Active,
406c942d,2302f152,Free,0,Active,
56c77036,32888d73,Free,0,Active,
5aa1133e,7f820a65,Free,0,Active,
fa438a4f,1811d81d,Free,0,Active,
b199861f,c664becf,Free,0,Active,
afc3770a,4731fbf3,Free,0,Active,
7eecf61f,085a478c,Pro,842.9,Active,30/01/2025
df415eee,cbc35fe8,Free,0,Active,
399acd7b,a1e12fbb,Pro,800.73,Active,22/01/2025
8174f765,1110d145,Free,0,Active,
9ceac731,888c5fb9,Free,0,Active,
7f518c23,ef65bb2c,Pro,402.78,Active,31/01/2025
562aa22c,9875391e,Free,0,Active,
477bdfe3,4cf0c0a9,Free,0,Active,
c1306909,9362b0db,Free,0,Active,
38ce40aa,e56deead,Pro,147.83,Active,01/02/2025
f7361a56,86295aa2,Free,0,Active,
8c330856,94322121,Free,0,Active,
d4440bf1,9702126c,Free,0,Active,
0a63e759,f80f6255,Free,0,Active,
7dac6c86,f16ce3ec,Pro,571.82,Active,29/01/2025
0c7494e1,199a1269,Pro,221.77,Active,30/01/2025
980b2990,61ecf547,Free,0,Active,
81bab286,87801f8a,Free,0,Active,
3dc0d8d2,d5ff143d,Free,0,Active,
9dabde9c,9fe17c43,Free,0,Active,
30caea9f,9198919d,Free,0,Active,
897b7278,0ac7b89c,Pro,263.32,Active,16/01/2025
89990ddd,0ae7f213,Free,0,Active,
26c9d838,4e9dc06c,Free,0,Active,
11da8656,0bd4dc3e,Enterprise,2576.39,Active,08/01/2025
b624d05b,f27aaee1,Free,0,Active,
062a574a,bc312a64,Pro,26.84,Active,07/01/2025
ab346b9b,8e97331b,Free,0,Active,
211fcf40,8eae7580,Free,0,Active,
5944218f,5b9d839a,Pro,163,Active,23/01/2025
d5806f95,327d30da,Free,0,Active,
bdb115c7,8cdfc968,Free,0,Active,
e94d218b,d1998ec4,Free,0,Active,
27d65899,3fc56454,Pro,408.43,Active,04/02/2025
3d6dc437,21048283,Free,0,Active,
c3908ea4,324df46c,Free,0,Active,
11136436,88292fe6,Free,0,Active,
87d9fcc3,cfe8d907,Enterprise,1570.45,Active,01/02/2025
4daeac6d,d9cfa8a6,Free,0,Active,
4872ddc4,e2baa967,Free,0,Active,
976e3432,c862d3da,Free,0,Active,
c54d4cca,79f0eeb5,Free,0,Active,
3bbcccd4,5f59a246,Pro,913.99,Active,22/01/2025
6cc1ae7a,652a6ba3,Free,0,Active,
9cbfba53,ed788c8f,Pro,112.84,Active,10/01/2025
05e060f1,34268a48,Free,0,Active,
d4c1411b,10003c6f,Free,0,Active,
a71e86f9,a7e3492d,Free,0,Active,
72dca054,b7d2f345,Pro,211.29,Active,27/01/2025
58e5ebd2,95154a88,Free,0,Active,
43ea678f,0555f19a,Free,0,Active,
d6c038bf,4d296f93,Free,0,Active,
a7a7c6c9,818a3d55,Free,0,Active,
44ebd046,a10d2916,Pro,914.97,Active,04/01/2025
73ffcf5d,91d0b9e6,Free,0,Active,
f703ca77,69616ff2,Free,0,Active,
045685ae,cf105010,Pro,72.29,Active,15/01/2025
ef50876d,a08490e4,Free,0,Active,
b0839fe8,cd84364d,Free,0,Active,
646c44cc,dda63f50,Free,0,Active,
81e788a5,a5b66121,Pro,961.7,Active,05/02/2025
f932cd33,30c1d8e1,Pro,978.91,Active,03/01/2025
661ed3f6,4a238b38,Free,0,Active,
58b125d2,ac485c22,Pro,79.08,Active,02/02/2025
50ab3aa4,ba42d49a,Free,0,Active,
343a0ad3,ac6d5c4c,Free,0,Active,
09ca90e3,390ed57f,Free,0,Active,
c4b803ff,fca58fc8,Free,0,Active,
822d8278,5f300faf,Pro,519.87,Active,21/01/2025
439de4f8,4de3e9cd,Free,0,Active,
119f19a2,0ea892db,Free,0,Active,
09ca3baf,a89f72e1,Free,0,Active,
8d1b62af,ec323d83,Free,0,Active,
23f47b37,30dbc890,Free,0,Active,
80c53395,90882f42,Free,0,Active,
d2bf2020,5183aefa,Free,0,Active,
cb4998dc,4a8a7b0c,Free,0,Active,
f70aa146,d1c86758,Free,0,Active,
0d1f28c3,ac2758a7,Free,0,Active,
8b2e7a78,425d2229,Free,0,Active,
22827bcf,2166def0,Free,0,Active,
b7887952,955ee948,Free,0,Active,
4f93f450,a446a21d,Free,0,Active,
bae21c08,5d42afc5,Free,0,Active,
0bca3249,b64012d7,Free,0,Active,
8099aaca,01214cc7,Free,0,Active,
985ccdf7,232af3f4,Free,0,Active,
dd7c3e18,61d8f3dc,Free,0,Active,
def84ede,02b2beb3,Free,0,Active,
178447ae,7.86E+10,Free,0,Active,
8e33fdec,7c9f97bd,Pro,184.07,Active,07/01/2025
4eda2fb2,f3c4fc00,Free,0,Active,
92dfebd6,77ea6c1c,Pro,144.09,Active,07/02/2025
6bb96938,7287c425,Free,0,Active,
68e5a335,8fff0181,Free,0,Active,
57fd4a64,c425ef61,Pro,195.3,Active,11/01/2025
c2ee00e3,1ca719f8,Free,0,Active,
f87e0e75,239e6adb,Pro,885,Active,03/02/2025
927bd1e1,5b8ba452,Enterprise,3796.37,Active,21/01/2025
2589f2fa,306fa23d,Free,0,Active,
86b00267,e38e9d3e,Free,0,Active,
f7380b48,c66b07b5,Pro,29.02,Active,15/01/2025
74542c3c,9b1bf8a0,Free,0,Active,
7a950fef,41aecca4,Free,0,Active,
19d3f02d,3f7dae4a,Free,0,Active,
4bcc1dec,d7832fff,Pro,120.89,Active,05/02/2025
d78835dd,a24abb17,Free,0,Active,
b7b205a2,143f1f9a,Free,0,Active,
724ef94f,2ad9ad48,Free,0,Active,
2d01839a,0b2a6ba5,Free,0,Active,
9cf6a698,8c7ab0c3,Free,0,Active,
6e2a3bcb,0edb25eb,Free,0,Active,
cb9814dc,f2ee4b7e,Pro,237.15,Active,25/01/2025
f5e14efe,cfc8c632,Free,0,Active,
01c22345,d539d75f,Pro,877.88,Active,12/01/2025
b829f6c3,cedbc086,Free,0,Active,
37969342,5026f247,Free,0,Active,
d2727f3b,8b291ab3,Free,0,Active,
ee40c99a,f4d6c1b2,Free,0,Active,
7f916f4d,3c518f4c,Pro,327.23,Active,24/01/2025
ebc7769a,75db307d,Free,0,Active,
d3454112,8df2a3af,Free,0,Active,
b4886dba,dae3508f,Pro,921.94,Active,26/01/2025
11ddfafe,8f020ae3,Free,0,Active,
85650dec,c4d09b8d,Free,0,Active,
fcf24fc3,32f54e05,Free,0,Active,
1b0b0d57,e059630d,Free,0,Active,
295dc9b1,bc4e3af8,Free,0,Active,
500f3d27,3e1005b2,Free,0,Active,
3e63fa6e,d0a94e8e,Pro,562.2,Active,23/01/2025
b70b2d2f,583d0de3,Free,0,Active,
4b5ead26,7ede7540,Free,0,Active,
f014f5eb,db856fe2,Free,0,Active,
55c6a741,2a60eaf5,Pro,212.43,Active,16/01/2025
4277adac,7d27272e,Free,0,Active,
46ec133c,86ed9a36,Free,0,Active,
a789f91f,8644f7eb,Free,0,Active,
8f3be62a,32aef9df,Free,0,Active,
ce4d56ba,5cd0eacc,Free,0,Active,
fbdee039,9fd904c0,Free,0,Active,
322bb147,e5cb3111,Free,0,Active,
75d17b9e,63a6ddd9,Free,0,Active,
c0f2801e,97996f47,Free,0,Active,
a5020098,5b051158,Free,0,Active,
c6ea8c29,a22c42f0,Free,0,Active,
e48635af,aee5d0d6,Pro,201.37,Active,03/02/2025
3ff0516b,1ec5d776,Free,0,Active,
ba4acd7a,b2c23aff,Free,0,Active,
859c9d29,e9d32f74,Free,0,Active,
54d4b308,0baefb47,Free,0,Active,
0cd90deb,248d67e6,Free,0,Active,
d509e85d,75c4eccd,Pro,59.59,Active,04/02/2025
83b69185,067b8201,Pro,24.9,Active,24/01/2025
82dae748,a89da63f,Free,0,Active,
5e3d3c1b,0cc113c4,Free,0,Active,
bbda05be,5d8ec3dc,Free,0,Active,
6d842af5,a898e170,Free,0,Active,
fef5b96c,d2769d85,Free,0,Active,
6353e88d,b9ea71a9,Free,0,Active,
0a63cb6c,3b0dbe2d,Free,0,Active,
9f75ef9d,8fa7e016,Free,0,Active,
a76e8d90,723814ce,Free,0,Active,
0bf1ee80,ad0e8923,Free,0,Active,
d2410c20,9b2f6240,Free,0,Active,
0db7f583,6dd66a5d,Free,0,Active,
8e1280d7,e684edd9,Free,0,Active,
c7bc4dde,1cc689ea,Pro,220.08,Active,28/01/2025
d0c9f1a8,788f6807,Free,0,Active,
285f2f06,5b7aa835,Pro,148.12,Active,22/01/2025
d4cac700,7568a75c,Pro,1049.85,Active,14/01/2025
a101a9a8,3efc9616,Free,0,Active,
438c191f,f222fde6,Pro,1087.86,Active,28/01/2025
1562e796,a8850998,Pro,48.22,Active,31/01/2025
7f629318,8d4460c3,Pro,87.04,Active,20/01/2025
8e0fbd18,5e9e0c05,Free,0,Active,
84859ca5,ad55c641,Free,0,Active,
0c41faa6,60a2d2af,Pro,351.03,Active,16/01/2025
9afbe7d2,4b0cbf0c,Free,0,Active,
2d55d21d,38f511db,Free,0,Active,
d2fd2771,83ff30f5,Pro,51.38,Active,12/01/2025
8370e6d0,c4b12fe1,Enterprise,2767.1,Active,15/01/2025
204acdc7,8776dc16,Free,0,Active,
2d6d2127,b28685d9,Free,0,Active,
6d8f7b33,f3d0a149,Pro,55.27,Active,12/01/2025
ffb11633,53d8b963,Pro,119.6,Active,24/01/2025
54953880,75711b8b,Free,0,Active,
147eb90e,ca232cd7,Free,0,Active,
cd745ab0,496447be,Free,0,Active,
5349ff0c,832b7269,Pro,884.43,Active,07/01/2025
f942cf17,9e25e01d,Free,0,Active,
04e22990,6ce523ce,Free,0,Active,
07b7fe55,09fac1bc,Free,0,Active,
cd5e1cee,5325de2f,Free,0,Active,
9.54E+36,526ecbbf,Free,0,Active,
76da4f5b,0ad99e1b,Free,0,Active,
a157a96a,839d09a4,Pro,103.95,Active,28/01/2025
572316d7,a82f229b,Free,0,Active,
dc708664,c4fa969e,Free,0,Active,
2be8e646,27ea38f0,Free,0,Active,
9eeda797,cfae948c,Free,0,Active,
c02a6ad1,1a92b04e,Free,0,Active,
f42f3f0a,4da78915,Free,0,Active,
0d0e30b6,681cf96c,Free,0,Active,
62fd88a7,1e2de8fc,Free,0,Active,
164b1102,0d84b8aa,Free,0,Active,
e5d85587,6802d0b0,Free,0,Active,
2e026a90,9cfe6b15,Free,0,Active,
185a39c2,bbdc6227,Free,0,Active,
1f5b8b11,57e506ae,Free,0,Active,
d48ed80a,ccbac79b,Free,0,Active,
92fb6b41,12f93b9c,Free,0,Active,
6cd332f4,75c91995,Free,0,Active,
8e5aa730,c11a298c,Free,0,Active,
46d58a57,93d96923,Free,0,Active,
2e64aca3,1c3f26aa,Free,0,Active,
b1c7e377,13c54267,Free,0,Active,
5ab22f75,8e14f073,Pro,649.59,Active,22/01/2025
418920c8,6eab8523,Free,0,Active,
728b0305,b86f44c8,Free,0,Active,
e07607b2,be9dc7b8,Free,0,Active,
8294a383,3c69e6cb,Pro,137.49,Active,29/01/2025
5aa28ade,1886403d,Free,0,Active,
51f178a2,0b84bb24,Free,0,Active,
f0bcd574,47702047,Free,0,Active,
6b627b63,a61825a4,Free,0,Active,
ce4fb6c4,0d7af33f,Free,0,Active,
65a108d3,0212338a,Pro,520.32,Active,06/02/2025
7fb2b0b9,89ff2179,Pro,24.88,Active,12/01/2025
d25503e9,2b472454,Free,0,Active,
6e8824d7,654f01a6,Free,0,Active,
c4ffe60f,c558e669,Free,0,Active,
e5e9854d,058e6c7e,Free,0,Active,
ed3ccd6c,77c056b0,Enterprise,7039.04,Active,06/01/2025
88f4f08a,a4fa0b37,Free,0,Active,
7d4ede2c,2315dec4,Free,0,Active,
4a1abf8f,526af85e,Free,0,Active,
b129207e,c7692152,Free,0,Active,
f8b8ffa1,c0852dfd,Free,0,Active,
1b87c095,cdba0acc,Free,0,Active,
707eb97e,35ea758b,Free,0,Active,
08d18733,4408241c,Free,0,Active,
ea7046c0,8f2bca0f,Free,0,Active,
5c19b200,0e37fab3,Free,0,Active,
06401ba0,fe4e698a,Free,0,Active,
2304470e,9.04E+56,Free,0,Active,
a9d7dca0,1a635fda,Free,0,Active,
b9058cfc,305a35ca,Free,0,Active,
3068213d,b5785338,Free,0,Active,
0f9b81a0,b15bc988,Free,0,Active,
e85c28f6,16cbc6d5,Free,0,Active,
c69b5260,8c6d1533,Free,0,Active,
4.70E+23,a3b16b8d,Pro,113.82,Active,15/01/2025
31805315,271f5382,Free,0,Active,
64642781,4ffa1d3a,Free,0,Active,
bc00345b,4cbd96c4,Free,0,Active,
e636827c,2224d125,Pro,113.33,Active,20/01/2025
67c8c8c4,b307d9ba,Pro,1061.63,Active,13/01/2025
74b3bbce,675f3507,Free,0,Active,
9047a6d7,bdc07d12,Free,0,Active,
b9e6aad5,0bf2b3d9,Free,0,Active,
1b1e9a9a,ee785002,Free,0,Active,
4837f6e1,a2407750,Free,0,Active,
2d231e7b,e25f5001,Free,0,Active,
583bf3ff,85c4f058,Free,0,Active,
b614ec2d,82ca541d,Free,0,Active,
82301356,548da542,Pro,197.67,Active,17/01/2025
87dda2a7,f20fef6e,Pro,50.87,Active,06/01/2025
4afe21b0,5419ec12,Free,0,Active,
7a6433ab,4b14ce1c,Free,0,Active,
23d16c7a,dcb9375c,Free,0,Active,
430895d8,c2af7a3c,Free,0,Active,
c9ef02bb,0918a638,Free,0,Active,
df93f27d,798eaed9,Free,0,Active,
